Book,Chapter,Entities
Harry Potter and the Sorcerer's Stone,1,"Vernon Dursley, Petunia Dursley, Number Four Privet Drive, Grunnings, Dudley Dursley, owl, cat, the Potters, muggles, You-Know-Who, the Dursleys, Headmaster Albus Dumbledore, Deluminator, Professor McGonagall, James Potter, Lily Potter, Lord Voldemort, Potter cottage, Godric's Hollow, Harry Potter, Rubeus Hagrid, flying motorbike, orphaned baby, Sirius Black, the boy who lived"
Harry Potter and the Sorcerer's Stone,2,"the Dursleys, Harry Potter, doorstep, Number Four Privet Drive, Dudley Dursley, cupboard under the stairs, spiders, Petunia Dursley, flying motorbike, Dudley's 11th birthday, Dudley's old clothes, jet-black hair, green eyes, glasses, lightning-shaped scar, forehead, car crash, parents, Vernon Dursley, Arabella Figg, zoo, Piers Polkiss, Boa constrictor, Parseltongue, vanishing glass incident"
Harry Potter and the Sorcerer's Stone,3,"cupboard under the stairs, Dudley Dursley, Number Four Privet Drive, Piers Polkiss, Smeltings Academy, Stonewall High, Vernon Dursley, Vernon Dursley's sister, Harry Potter, letter, yellow parchment envelope, Lion, Snake, Badger, Eagle, Petunia Dursley, Dudley's second bedroom, letterbox, letters, fireplace, gloomy hotel, Harry's 11th birthday, yellow parchment envelope"
Harry Potter and the Sorcerer's Stone,4,"Rubeus Hagrid, Harry Potter, Vernon Dursley, Petunia Dursley, Dudley Dursley, rifle, birthday cake, Keeper of Keys and Grounds, Hogwarts School of Witchcraft and Wizardry, sausages, wizard, Harry’s acceptance letter, 1st September, parchment, quill, Headmaster Albus Dumbledore, Muggle, Lily Potter, James Potter, witch, Dark wizard, Lord Voldemort, scar, ruins of the house, Number Four Privet Drive, umbrella, pig’s tail, expelled, magic, Hagrid’s coat"
Harry Potter and the Sorcerer's Stone,5,"Harry Potter, Rubeus Hagrid, Hogwarts School of Witchcraft and Wizardry, owl, newspaper, Gringotts, goblins, Dumbledore, Ministry of Magic, Cornelius Fudge, Muggles, dragons, Hogwarts supply list, Leaky Cauldron, Doris Crockford, Dedalus Diggle, Quirinus Quirrell, Defence Against the Dark Arts, umbrella, Diagon Alley, Gringotts Bank, Goblin, Griphook, Harry’s vault, Vault 713, Bronze Knuts, Silver Sickles, Gold Galleons, grubby little package, Madam Malkin's Robes for All Occasions, pale-faced boy, Quidditch, broomstick, Slytherin, Hufflepuff, four Hogwarts houses, blood status, Ollivanders, Mr Ollivander, Harry’s scar, holly wand, eleven inches, phoenix feather core, Voldemort’s wand, Hedwig, snowy owl, Hogwarts Express, train ticket, Muggle world"
Harry Potter and the Sorcerer's Stone,6,"Harry Potter, Vernon Dursley, Petunia Dursley, Dudley Dursley, Hedwig, smallest bedroom, King’s Cross Station, Platform Nine and Three-Quarters, train ticket, Molly Weasley, Fred Weasley, George Weasley, Ron Weasley, Scabbers, sweets, Quidditch, Bertie Bott's Every Flavour Beans, Famous Witches and Wizards cards, Albus Dumbledore, Hermione Granger, Neville Longbottom, Trevor, Draco Malfoy, Crabbe, Goyle, Hogwarts Express, Hogsmeade Station, Hagrid, Lake, Hogwarts"
Harry Potter and the Sorcerer's Stone,7,"Professor Minerva McGonagall, Gryffindor, Hufflepuff, Ravenclaw, Slytherin, Quidditch, House Cup, Hogwarts ghosts, Peeves, Great Hall, Sorting Hat, Hermione Granger, Ron Weasley, Draco Malfoy, Harry Potter, feast, Sir Nicholas de Mimsy-Porpington, Nearly Headless Nick, Neville Longbottom, Seamus Finnigan, Muggle, Professor Quirrell, Professor Severus Snape, Potions, Albus Dumbledore, Forbidden Forest, 3rd-floor corridor, Peeves, Fat Lady, Gryffindor Tower, Percy Weasley, password, dream, green light"
Harry Potter and the Sorcerer's Stone,8,"Harry Potter, Hogwarts, Nearly-Headless Nick, Peeves, Argus Filch, Ron Weasley, Third-floor corridor, Professor Quirrell, History of Magic, Professor Binns, Transfiguration, Professor McGonagall, Hermione Granger, Defence Against the Dark Arts, vampire, Romania, zombie, African prince, Hedwig, Hagrid, Potions, Professor Severus Snape, Fang, Daily Prophet, Gringotts, vault 713"
Harry Potter and the Sorcerer's Stone,9,"Harry Potter, Hogwarts, Gryffindor, Slytherin, Draco Malfoy, Madam Hooch, Neville Longbottom, Hospital Wing, Remembrall, Professor McGonagall, Oliver Wood, Gryffindor Quidditch team, Seeker, Ron Weasley, Vincent Crabbe, Gregory Goyle, wizard’s duel, Hermione Granger, Fat Lady, Argus Filch, Mrs Norris, Trophy Room, third floor corridor, three-headed dog, trapdoor"
Harry Potter and the Sorcerer's Stone,10,"Harry Potter, Ron Weasley, Nimbus 2000, Professor McGonagall, Draco Malfoy, Professor Flitwick, Oliver Wood, Quidditch, Seeker, Golden Snitch, Wingardium Leviosa, Hermione Granger, Hallowe’en feast, Professor Quirrell, Defence Against the Dark Arts, twelve-foot troll, girls’ bathroom, teamwork, magic, Professor McGonagall"
